Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1977-12-31,0.03,1979-12-31,0.04,520 days,1972-12-31/0.0225,64.02%,64.02%,Rise by 3569.7%,64.02%,
Buy,1980-12-31,0.08,1982-12-31,0.26,522 days,1979-12-31/0.0433,229.70%,229.70%,Rise by 2272.84%,293.71%,
Buy,1983-12-31,0.41,1985-12-31,0.66,521 days,1982-12-31/0.2598,63.49%,63.49%,Rise by 1212.97%,357.20%,
Buy,1986-12-31,0.97,1989-12-31,1.87,782 days,1985-12-31/0.6641,93.00%,93.00%,Rise by 450.51%,450.20%,
Buy,1990-12-31,2.52,1991-12-31,4.91,261 days,1989-12-31/1.8698,94.63%,94.63%,Rise by 814.06%,544.83%,
Buy,1992-12-31,5.33,1993-12-31,4.17,261 days,1991-12-31/4.9062,-21.87%,-21.87%,Rise by -30.47%,522.96%,
Buy,1997-12-31,6.57,1998-12-31,13.57,261 days,1992-12-31/5.3333,106.50%,106.50%,Rise by 134.19%,629.46%,
Buy,1999-12-31,23.04,2000-12-31,17.71,260 days,1998-12-31/13.5729,-23.15%,-23.15%,Rise by -26.93%,606.31%,
Buy,2008-12-31,18.69,2017-12-31,32.92,2347 days,2003-12-31/17.6833,76.15%,76.15%,Rise by 53.19%,682.46%,
Buy,2019-12-31,39.61,2024-12-31,90.35,1305 days,2017-12-31/32.9167,128.08%,128.08%,Rise by 155.42%,810.54%,
Buy,2025-11-03,101.18,2025-11-03,101.18,0 days,2024-12-31/90.35,0.00%,0.00%,Rise by 0%,810.54%,
