Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-11-24,136.5200,2022-01-27,111.7900,46 days,-18.11%,-18.1146%,Rise by -10.46%,-18.1146%,
Buy,2022-04-22,86.4900,2022-04-29,97.0900,5 days,12.26%,12.2558%,Rise by 38.31%,-5.8588%,
Buy,2022-08-02,92.6200,2022-08-25,99.8900,17 days,7.85%,7.8493%,Rise by 7.85%,1.9905%,
Buy,2022-09-26,78.9100,2022-10-04,84.1100,6 days,6.59%,6.5898%,Rise by -19.97%,8.5803%,
Buy,2022-10-26,68.5100,2022-11-15,79.3000,14 days,15.75%,15.7495%,Rise by 22.99%,24.3298%,
Buy,2023-02-27,89.2500,2023-03-28,98.4000,21 days,10.25%,10.2521%,Rise by 15.83%,34.5819%,
Buy,2023-04-27,84.4700,2023-05-11,87.8900,10 days,4.05%,4.0488%,Rise by 7.35%,38.6307%,
Buy,2024-11-18,89.3500,2025-01-10,80.5300,39 days,-9.87%,-9.8713%,Rise by 3.32%,28.7594%,
Buy,2025-04-09,104.7800,2025-04-14,113.9700,3 days,8.77%,8.7708%,Rise by 27.93%,37.5301%,
Buy,2025-06-02,114.7500,2025-06-05,119.9600,3 days,4.54%,4.5403%,Rise by 6.82%,42.0704%,
Buy,2025-07-10,106.6400,2025-07-15,116.9700,3 days,9.69%,9.6868%,Rise by 18.96%,51.7572%,
