Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-24,159.3467,2022-02-09,168.2100,12 days,5.56%,5.5623%,Rise by 5.56%,5.5623%
Buy,2022-04-12,139.5700,2022-06-16,117.5367,47 days,-15.79%,-15.7866%,Rise by 3.6%,-10.2243%
Buy,2022-06-17,118.0133,2022-06-24,124.3000,5 days,5.33%,5.3271%,Rise by 19.57%,-4.8972%
Buy,2022-09-02,119.6167,2022-09-09,125.1967,5 days,4.66%,4.6649%,Rise by -11.18%,-0.2323%
Buy,2022-09-27,110.0067,2022-10-04,115.0733,5 days,4.61%,4.6057%,Rise by 16.62%,4.3734%
Buy,2023-08-18,160.2300,2023-08-21,164.8333,1 days,2.87%,2.8729%,Rise by 6.51%,7.2464%
Buy,2023-09-22,155.3533,2023-10-02,158.6800,6 days,2.14%,2.1414%,Rise by 5.14%,9.3878%
Buy,2024-04-23,205.8700,2024-04-25,212.4100,2 days,3.18%,3.1768%,Rise by 25.94%,12.5645%
Buy,2024-07-26,229.3700,2024-10-14,239.8000,56 days,4.55%,4.5472%,Rise by 2.6%,17.1118%
Buy,2024-11-19,214.3500,2024-12-02,221.0600,9 days,3.13%,3.1304%,Rise by 6.11%,20.2422%
Buy,2025-03-04,202.2700,2025-04-03,170.3600,22 days,-15.78%,-15.7759%,Rise by 1.5%,4.4662%
