Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2020-12-01,137.82,2021-03-23,143.11,Buy,80 Days,-4.12,Rise by 2.83%,3.84%,3.84%,
2021-02-01,131.63,2021-04-08,146.0,Buy,48 Days,-4.18,Rise by 6.73%,10.92%,14.76%,
2021-05-03,134.06,2021-08-13,134.5,Buy,74 Days,-4.33,Rise by 2.06%,0.33%,15.08%,
2021-05-14,130.07,2021-08-13,134.5,Buy,65 Days,-3.01,Rise by 4.56%,3.41%,18.49%,
2022-05-02,151.29,2022-08-04,162.36,Buy,68 Days,-4.16,Rise by -2.46%,7.32%,25.81%,
2022-05-12,145.07,2022-08-04,162.36,Buy,60 Days,-3.8,Rise by 0.52%,11.92%,37.72%,
2023-06-01,154.77,2023-08-02,155.84,Buy,44 Days,-3.88,Rise by 1.43%,0.69%,38.42%,
2024-05-01,166.5,2024-07-19,165.66,Buy,57 Days,-3.17,Rise by 4.63%,-0.5%,37.91%,
2024-07-02,160.82,2024-09-09,158.98,Buy,49 Days,-3.76,Rise by 5.04%,-1.14%,36.77%,
2024-11-01,150.98,2025-05-22,147.29,Buy,144 Days,-4.19,Rise by 3.52%,-2.44%,34.32%,
2025-04-03,138.37,2025-05-22,147.29,Buy,35 Days,-3.03,Rise by 0.44%,6.45%,40.77%,
2025-05-01,132.38,2025-07-15,141.35,Buy,53 Days,-3.51,Rise by 14.06%,6.78%,47.55%,
2025-08-01,128.04,2025-08-01,128.04,Buy,0 Days,-5.49,Rise by 0%,0.0%,47.55%,
