Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-03-12,43.36,2020-03-17,42.85,Sell,2 days,Fall by -5.540000%,1.18
2020-12-28,72.21,2020-12-30,77.58,Sell,1 days,Fall by -8.390000%,-7.44
2021-04-22,75.89,2021-04-28,78.58,Buy,3 days,Rise by -12.810000%,3.54
2021-06-18,67.77,2021-06-29,70.98,Buy,6 days,Rise by -11.450000%,4.74
2021-10-07,49.22,2021-10-18,50.82,Buy,6 days,Rise by 5.490000%,3.25
2021-12-02,42.83,2021-12-07,43.22,Sell,2 days,Fall by 12.650000%,-0.91
2022-02-01,37.66,2022-06-14,31.39,Buy,94 days,Rise by -10.700000%,-16.65
2022-02-09,38.46,2022-06-14,31.39,Buy,88 days,Rise by -11.730000%,-18.38
2022-03-31,28.51,2022-04-01,30.21,Sell,0 days,Fall by 13.050000%,-5.96
2022-04-07,28.89,2022-04-20,26.15,Sell,8 days,Fall by 13.010000%,9.48
2022-04-08,28.81,2022-04-20,26.15,Sell,7 days,Fall by 12.670000%,9.23
2022-05-13,26.62,2022-06-02,30.17,Buy,13 days,Rise by 27.200000%,13.34
2022-05-27,27.81,2022-06-03,29.35,Buy,4 days,Rise by 20.500000%,5.54
2022-07-12,30.09,2022-07-19,30.7,Sell,4 days,Fall by 8.180000%,-2.03
2022-08-01,27.63,2022-08-04,29.24,Sell,2 days,Fall by 1.160000%,-5.83
2022-08-15,28.85,2022-12-08,31.47,Buy,82 days,Rise by -11.060000%,9.08
2022-08-17,27.83,2022-08-25,30.55,Sell,5 days,Fall by 10.420000%,-9.77
2022-08-29,29.69,2022-09-07,28.33,Sell,6 days,Fall by 10.370000%,4.58
2022-10-05,26.32,2022-12-05,29.78,Buy,42 days,Rise by -20.250000%,13.15
2022-10-12,22.53,2022-10-24,18.41,Sell,7 days,Fall by 11.980000%,18.29
2022-10-25,19.03,2022-10-26,20.64,Sell,0 days,Fall by -51.920000%,-8.46
2022-11-11,24.09,2022-11-17,26.96,Buy,3 days,Rise by 30.640000%,11.91
2023-05-31,24.95,2023-06-01,26.19,Sell,0 days,Fall by -7.250000%,-4.97
2023-07-06,26.49,2023-07-11,27.93,Sell,2 days,Fall by -1.400000%,-5.44
2023-07-10,27.56,2023-07-17,29.08,Buy,4 days,Rise by 15.970000%,5.52
2023-08-29,29.22,2024-05-10,30.1,Buy,182 days,Rise by -1.920000%,3.01
2023-08-30,28.98,2024-05-07,29.77,Buy,178 days,Rise by -1.100000%,2.73
2023-10-10,28.51,2024-05-07,29.77,Buy,149 days,Rise by 0.740000%,4.42
2023-10-20,25.64,2023-10-24,26.97,Sell,1 days,Fall by -0.660000%,-5.19
2024-03-11,25.7,2024-03-15,26.31,Buy,3 days,Rise by 5.910000%,2.37
2024-04-15,25.93,2024-04-19,25.51,Sell,3 days,Fall by -4.200000%,1.62
2024-04-17,25.45,2024-04-23,27.33,Sell,3 days,Fall by -6.170000%,-7.39
2024-06-21,28.29,2024-07-01,27.1,Sell,5 days,Fall by 9.400000%,4.21
2024-09-17,25.88,2024-09-24,30.04,Buy,4 days,Rise by 50.190000%,16.07
2024-09-27,33.93,2024-10-04,38.41,Buy,4 days,Rise by 1.090000%,13.2
2025-03-11,36.2,2025-03-17,38.29,Sell,3 days,Fall by 13.510000%,-5.77
2025-07-15,35.64,2025-07-23,37.06,Buy,5 days,Rise by 8.080000%,3.98
2025-09-09,39.97,2025-09-16,41.43,Buy,4 days,Rise by 7.430000%,3.65
